Commune; Adopté en; Valable jusqu'en;Impôt rentrée argent; Impôt spécial affecté; Pour-cent total; Immeubles; Constr. non immatric. registre foncier; Impôt personnel fixe; Ventes, cessions, etc.; Ligne directe ascendante; Ligne directe descendante; Ligne collatérale; Entre non-parents; Impôt compl. s/immeubles soc. et fond.; * Chiens; * Impôt sur les divertissements
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
DISTRICT D'AIGLE;;;;;;;;;;;;;;;;
Premier;2021;2026;79.5; -   ;79.5;1;0.5; - ;50; - ; - ;100;100;50;50; -   
Provence;2025;2026;81; -   ;81;1.5;0.5;10;50;100;100;100;100;50;40; -   
Rances;2025;2026;76.5; -   ;76.5;1; -   ;0;50;30;30;100;100;0;0.65p/Fr; -   
Romainmôtier-Envy;2025;2026;81; -   ;81;1.1; -   ;0;50;80;80;100;100;50;0.72p/Fr;10
Rovray;2024;2026;73; - ;73;1; - ; - ;50;30;30;40;100;-;60;10
Sainte-Croix;2024;2027;70; - ;70;1; - ; - ;50;100;100;100;100;50;75;10
Sergey;2025;2026;76; -   ;76;1;0.5; - ;50;50;50;80;100;50; 1.0p/Fr ; -   
Suchy;2025;2026;70; -   ;70;0.8; - ; - ;50; - ; - ;100;100; - ;60; -   
Suscévaz;2025;2026;72; -   ;72;1;0.5;10;50;100;100;100;100;50;60; -   
Tévenon;2025;2026;71.5; -   ;71.5;1.2;0.5; - ;50;50;50;100;100;50;100; -   
Treycovagnes;2025;2027;73; -   ;73;1;0.5; - ;50;50;50;100;100;50; 1.0p/Fr ;5
Ursins;2025;2026;75; -   ;75;1; - ;10;50;50;50;100;100;50;100; -   
Valeyres-sous-Montagny;2025;2026;70.5; -   ;70.5;1; - ; - ;50;70;100;100;100;50;80; -   
Valeyres-sous-Rances;2025;2026;71; - ;71;1; - ;10;50;-;-;-;100;50;1.0p/Fr; -   
Valeyres-sous-Ursins;2025;2026;77; -   ;77;1; - ;10;50;50;50;100;100;50;60; -   
Vallorbe;2024;2026;70; - ;70;1;0.5;-;50;100;100;100;100;50;75; -   
Vaulion;2025;2026;81; - ;81;0.5; - ;-;50;50;50;50;100;-;60; -   
Villars-Epeney;2025;2026;72; -   ;72;1;0.5;0;50;50;50;100;100;0;20; -   
Vugelles-La Mothe;2025;2026;70; - ;70;0.7; - ;-;50;50;50;50;100;-;50; -   
Vuiteboeuf;2025;2026;75; - ;75;0.7; - ;10;50;-;-;80;100;50;40; -   
Yverdon-les-Bains;2025;2026;75; -   ;75;1.5;0.5;0;50;100;100;100;100;50;70; -   
Yvonand;2024;2026;73; - ;73;1;0.5;-;50;90;90;100;100;50;1.0p/Fr;10
;;;;;;;;;;;;;;;;
DISTRICT DE LAUSANNE;;;;;;;;;;;;;;;;
Cheseaux-sur-Lausanne;2025;2027;73; - ;73;1;0.5;-;50;50;50;100;100;50;100; -   
Epalinges;2025;2026;64.5; - ;64.5;1;0.5;-;50;50;50;100;100;50;80; -   
Jouxtens-Mézery;2025;2026;59; - ;59;1.5;0.5;-;50;50;-;50;50;50;0.60p/Fr; -   
Lausanne;2024;2029;78.5; -   ;78.5;1.5;0.5; - ;50;100;100;100;100;50;90;14
Le Mont-sur-Lausanne;2025;2026;72; - ;72;1.2;0.5;-;50;-;-;100;100;50;100; -   
Romanel-sur-Lausanne;2025;2027;70.5; - ;70.5;1.25;0.5;-;50;100;-;100;100;50;150; -   
;;;;;;;;;;;;;;;;
DISTRICT DE LAVAUX-ORON;;;;;;;;;;;;;;;;
Belmont-sur-Lausanne;2021;2026;72; - ;72;1.5;0.5;-;50;100;50;100;100;50;100;5
Bourg-en-Lavaux;2024;2026;62.5; - ;62.5;1.5;0.5;-;50;100;-;100;100;50;100; -   
Chexbres;2025;2027;67.5; - ;67.5;1;0.5;-;50;100;-;100;100;50;75; -   
Forel (Lavaux);2024;2026;69; -   ;69;1;0.5; - ;50;100; - ;100;100;50;100;10
Jorat-Mézières;2025;2026;71; -   ;71;1; - ; - ;50;50;50;100;100;50;60;10
Lutry;2025;2027;54; - ;54;0.7;0.5;-;50;-;-;100;100;50;100; -   
Maracon;2025;2026;74.5; - ;74.5;1;0.5;-;50;-;-;100;100;50;100; -   
Montpreveyres;2025;2026;74.5; - ;74.5;1;0.5;-;50;100;100;100;100;50;80; -   
Oron;2025;2027;69; -   ;69;1.1;0.5; - ;50; - ; - ;100;100;50; 1.0p/Fr ;12
Paudex;2025;2026;66.5; - ;66.5;0.7;0.5;-;50;-;-;100;100;50;100; -   
Puidoux;2025;2026;68.5; - ;68.5;1.15;0.5;-;50;-;-;100;100;50;100; -   
Pully;2025;2026;61; - ;61;0.7;0.5;-;50;50;-;100;100;50;100; -   
Rivaz;2025;2026;62; -   ;62;1;0.5; - ;50; - ; - ; - ;100;50;100; -   
Savigny;2025;2027;69; - ;69;1.2;0.5;-;50;100;100;100;100;50;70;15
Servion;2025;2026;69; -   ;69;1;0.5; - ;50; - ; - ;100;100;50; 0.8p/Fr ;5
St-Saphorin (Lavaux);2025;2026;74; - ;74;1.2;0.5;-;50;100;60;100;100;50;150; -   
;;;;;;;;;;;;;;;;
