Code DiDok;Désignation officielle;Désignation organisation commerciale;Moyen de transport;Canton;Commune;Numero Commune;Localité;Swiss Business Organisation ID;Commentaire OFT;Coordonnées E MN95;Coordonnées N MN95;Altitude;Lien sur la carte
8593878;Nyon, Chantemerle;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2507591.302;1138669.251;416.6;46.39300454847594, 6.237191184620246
8593883;Nyon, chemin du Vallon;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2507832.939;1137987.133;390.3;46.38690247605379, 6.240467964614717
8593882;Nyon, chemin des Tines;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2506107;1137333;417;46.38077917326185, 6.218166761790562
8593894;Nyon, route de l'Oulteret;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;(Bus) fermé le 13.12.2014, réouverture possible;2507199;1138370;421;46.390258679537375, 6.232151387662884
8593886;Nyon, La Paix;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2507397.42;1138508.149;415.2;46.391528731233265, 6.234703003752029
8593898;Nyon, rte de Saint-Cergue;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2507125;1138624;425;46.39253304379516, 6.2311385830784545
8593887;Nyon, Le Groseillier;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2507102;1138729;427;46.39347428382309, 6.230818553024595
8593901;Nyon, Tattes d'Oie;Transports Publics de la Région Nyonnaise;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100540;;2506351;1137721;421;46.38430320692797, 6.221259540163083
8519325;Nyon [gare souterraine];Nyon-St-Cergue-Morez;;VD;Nyon;5724;Nyon;ch:1:sboid:100047;(Zug);2507438;1137730;395;46.384535219157165, 6.235385887568252
8501227;Nyon (lac);CGN SA;BOAT;VD;Nyon;5724;Nyon;ch:1:sboid:100143;;2508063;1137471;373;46.38229168004136, 6.243560650423274
8501030;Nyon;Schweizerische Bundesbahnen SBB;TRAIN;VD;Nyon;5724;Nyon;ch:1:sboid:100001;;2507482.434;1137716.393;405.612;46.384418967533634, 6.235966130629612
8515645;Nyon (bif);Schweizerische Bundesbahnen SBB;;VD;Nyon;5724;Nyon;ch:1:sboid:100001;(Zug);2507301.305;1137512.692;404.97;46.38256173000132, 6.233652653089623
8501053;La Vuarpillière;Nyon-St-Cergue-Morez;TRAIN;VD;Nyon;5724;Nyon;ch:1:sboid:100047;;2506052.27;1139370.715;464.4;46.399099815246345, 6.217042481220914
8570008;Nyon, La Redoute;PostAuto AG;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100602;;2507662;1138516;419;46.39163586810261, 6.238140750296546
8593889;Nyon, Les Mésanges;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;(Bus) fermé le 13.12.2014, réouverture possible;2506742;1138023;421;46.387074103656424, 6.226280755189956
8593888;Nyon, Les Jouvencelles;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2506256;1137883;425;46.38574703750921, 6.219992037582318
8593880;Nyon, chemin des Pensées;Transports Publics de la Région Nyonnaise;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100540;;2507349;1137128;401;46.379108184886945, 6.2343494070842835
8593896;Nyon, route du Stand;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2506667.692;1137419.82;413.9;46.38163842097184, 6.225436316360094
8595597;Nyon, Martavaux;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2507044;1137347;408;46.38103574998152, 6.230341690628225
8570001;Nyon, ch. Monastier;Transports Publics de la Région Nyonnaise;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100540;;2507078.001;1137822.858;412.6;46.385320599607105, 6.230688225732159
8510728;Nyon, L'Asse;Nyon-St-Cergue-Morez Ersatzverkehr;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:1100073;;2505787.398;1139676.655;477;46.40181440028903, 6.213536712105128
8593874;Nyon, centre ville;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2507479.456;1137567.032;399.4;46.38307511859078, 6.235957232458722
8593879;Nyon, chemin de Bourgogne;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2507093.159;1138402.87;420.8;46.39053965989972, 6.230768996994613
8593876;Nyon, ch. Valmont;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2506249;1137409;419;46.38148264305451, 6.2199968973674205
8588658;Nyon, Conservatoire;Transports Publics de la Région Nyonnaise;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100540;;2507611;1137006;378;46.37804702445739, 6.237778700295306
8588656;Nyon, plage;Transports Publics de la Région Nyonnaise;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100540;;2507427.213;1136882.157;381.9;46.376907746796554, 6.235414944162184
8570002;Nyon, route de Signy;Transports Publics de la Région Nyonnaise;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100540;;2506632;1138174;421;46.38841695985479, 6.2248205617267045
8511579;Nyon, Musée du Léman;Transports Publics de la Région Nyonnaise;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100540;;2507876.381;1137247.193;374.2;46.38025299063614, 6.2411796472393375
8595599;Nyon, Usine à Gaz;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2508060.839;1137610.823;377.1;46.383549030033876, 6.243504838397623
8595596;Nyon, Fontaine;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2506350.945;1138060.466;423.9;46.38735654164791, 6.221190247408898
8501059;Les Plantaz;Nyon-St-Cergue-Morez;TRAIN;VD;Nyon;5724;Nyon;ch:1:sboid:100047;;2506983.957;1138440.938;422.4;46.390866912378364, 6.229341854308162
8595598;Nyon, Petite Prairie;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2506394.566;1138440.906;430.3;46.390784524410904, 6.221680423291038
8570000;Nyon, gare;PostAuto AG;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100602;;2507510;1137711;406;46.38437426592057, 6.236325492879923
8579305;Nyon, CESSOUEST;Transports Publics de la Région Nyonnaise;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100540;;2507100;1137600;406;46.383319142204975, 6.231018808701756
8570397;Ogens, village;PostAuto AG;BUS;VD;Ogens;5680;Ogens;ch:1:sboid:100602;;2545203;1173564;632;46.71102345389099, 6.722010868427447
8501401;St-Triphon;Schweizerische Bundesbahnen SBB;;VD;Ollon;5409;St-Triphon;ch:1:sboid:100001;Güterverkehr;2564023.624;1125371.918;390.67;46.278798997094334, 6.971895899113651
8501447;Roches Grises;Transports Publics du Chablais;TRAIN;VD;Ollon;5409;Villars-sur-Ollon;ch:1:sboid:100008;;2570907.335;1126997.937;1301.9;46.29375999793236, 7.061100003355582
8501495;Villars-sur-Ollon;Transports Publics du Chablais;TRAIN;VD;Ollon;5409;Villars-sur-Ollon;ch:1:sboid:100008;;2570533.426;1127277.67;1253.5;46.29625999728537, 7.0562300052530285
8501470;Verschiez;Transports Publics du Chablais;TRAIN;VD;Ollon;5409;Ollon VD;ch:1:sboid:100008;;2564950;1128632;565;46.30817402746623, 6.983668232370273
8504430;St-Triphon, centre;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;St-Triphon;ch:1:sboid:100617;;2564562;1126927;429;46.29281635179578, 6.978761903242759
8504446;Salaz, Vers les Moulins;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Ollon VD;ch:1:sboid:100617;;2567157;1124640;485;46.27237588028006, 7.012598387193691
8504435;Ollon VD, Vergers;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Ollon VD;ch:1:sboid:100617;;2565404;1127110;430;46.29450651541132, 6.9896747396935
8504439;Antagnes, Le Boët;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Ollon VD;ch:1:sboid:100617;;2566873;1125598;565;46.28097957473362, 7.008846080170146
8504688;Ollon VD, bif. Forchex;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Ollon VD;ch:1:sboid:100617;;2567603;1125642;738;46.281411058067704, 7.018314031952488
8504687;Antagnes, Glutières;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Ollon VD;ch:1:sboid:100617;;2567195;1126083;698;46.285358220758084, 7.012989467366528
8579114;Villars-sur-Ollon, gare;Transports Publics du Chablais (Bus);BUS;VD;Ollon;5409;Villars-sur-Ollon;ch:1:sboid:100617;;2570522;1127221;1254;46.2957497190067, 7.056085319795627
