Commune;Total logements vacants;;;;;;;Logements vacants à vendre;;;;;;;Maisons individuelles vacantes;;;;;;;Logements vacants récents;;;;;;;#VALEUR!
Concise;13;-;1;2;8;-;2;10;-;1;2;5;-;2;3;-;-;-;1;-;2;-;-;-;-;-;-;-;
Coppet;34;-;3;2;4;4;21;18;-;1;-;2;1;14;19;-;-;-;1;2;16;2;-;-;-;-;-;2;
Corbeyrier;7;-;1;1;-;5;-;2;-;-;-;-;2;-;3;-;-;-;-;3;-;-;-;-;-;-;-;-;
Corcelles-le-Jorat;9;-;4;3;-;2;-;3;-;-;1;-;2;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;
Corcelles-près-Concise;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Corcelles-près-Payerne;21;1;9;7;2;1;1;2;-;-;2;-;-;-;-;-;-;-;-;-;-;12;-;6;4;2;-;-;
Corseaux;27;1;5;8;7;4;2;10;-;2;2;3;3;-;4;-;-;-;2;2;-;-;-;-;-;-;-;-;
Corsier-sur-Vevey;12;-;5;3;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Cossonay;9;-;3;4;1;1;-;4;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Crans;9;-;1;-;4;1;3;5;-;-;-;2;-;3;6;-;-;-;2;1;3;1;-;-;-;-;-;1;
Crassier;22;1;1;5;6;6;3;3;-;-;-;-;1;2;2;-;-;-;-;-;2;-;-;-;-;-;-;-;
Crissier;31;4;4;9;6;8;-;9;-;-;1;1;7;-;8;-;-;-;2;6;-;14;2;-;8;4;-;-;
Cronay;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Croy;12;3;3;2;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Cuarnens;3;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Cuarny;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Cudrefin;11;-;1;4;3;3;-;3;-;-;-;1;2;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;
Cugy (VD);2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Curtilles;6;1;2;1;-;1;1;2;-;-;-;-;1;1;4;-;1;1;-;1;1;-;-;-;-;-;-;-;
Daillens;10;3;2;3;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;
Démoret;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Denens;3;-;-;-;-;3;-;3;-;-;-;-;3;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;
Denges;9;-;5;3;1;-;-;9;-;5;3;1;-;-;-;-;-;-;-;-;-;9;-;5;3;1;-;-;
Dizy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Dompierre;3;-;-;1;1;-;1;3;-;-;1;1;-;1;3;-;-;1;1;-;1;-;-;-;-;-;-;-;
Donneloye;11;-;2;-;5;1;3;2;-;-;-;-;1;1;3;-;-;-;1;1;1;-;-;-;-;-;-;-;
Duillier;9;2;-;-;3;1;3;3;1;-;-;-;1;1;5;-;-;-;1;1;3;-;-;-;-;-;-;-;
Dully;7;-;-;-;-;1;6;6;-;-;-;-;1;5;5;-;-;-;-;-;5;-;-;-;-;-;-;-;
Echallens;4;-;1;2;1;-;-;1;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;
Echandens;6;2;1;1;1;1;-;3;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Echichens;9;-;1;2;3;1;2;6;-;-;1;2;1;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;
Eclépens;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Ecublens (VD);51;11;6;14;9;3;8;18;-;1;3;4;2;8;12;-;-;1;1;2;8;5;-;1;1;2;1;-;
Epalinges;74;12;9;11;19;12;11;26;1;1;4;4;7;9;13;-;-;-;1;3;9;3;1;-;-;2;-;-;
Ependes;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Essertines-sur-Rolle;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Essertines-sur-Yverdon;12;-;4;2;2;3;1;4;-;1;-;1;2;-;1;-;-;-;-;1;-;4;-;1;-;1;2;-;
Etagnières;6;-;1;1;3;-;1;3;-;-;-;2;-;1;1;-;-;-;-;-;1;1;-;1;-;-;-;-;
Etoy;13;-;2;3;5;2;1;5;-;-;-;3;1;1;2;-;-;-;-;1;1;2;-;-;-;1;1;-;
Eysins;15;-;2;3;3;5;2;13;-;1;2;3;5;2;2;-;-;-;-;1;1;1;-;-;1;-;-;-;
Faoug;3;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Féchy;19;1;-;2;4;2;10;12;-;-;1;3;-;8;4;-;-;-;-;2;2;2;-;-;-;-;-;2;
Ferreyres;3;1;-;-;2;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;
Fey;2;-;-;-;1;1;-;1;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;
Fiez;3;-;-;2;-;-;1;1;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;
Fontaines-sur-Grandson;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Forel (Lavaux);3;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Founex;16;-;1;5;2;1;7;5;-;-;-;-;1;4;5;-;-;-;-;-;5;-;-;-;-;-;-;-;
Froideville;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Genolier;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Giez;2;-;-;-;-;-;2;2;-;-;-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;
Gilly;2;-;-;-;1;-;1;2;-;-;-;1;-;1;2;-;-;-;1;-;1;-;-;-;-;-;-;-;
Gimel;11;1;2;2;5;-;1;6;-;-;1;4;-;1;1;-;-;-;-;-;1;3;-;-;1;2;-;-;
Gingins;5;-;1;1;1;1;1;3;-;-;-;1;1;1;2;-;-;-;1;-;1;-;-;-;-;-;-;-;
Givrins;5;-;-;2;1;-;2;3;-;-;1;-;-;2;3;-;-;1;-;-;2;-;-;-;-;-;-;-;
Gland;19;1;4;2;8;4;-;5;1;-;-;3;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;
Gollion;6;1;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Goumoëns;6;1;-;2;1;1;1;2;-;-;-;-;1;1;2;-;-;-;-;1;1;3;-;-;2;1;-;-;
Grancy;3;-;-;1;-;1;1;3;-;-;1;-;1;1;2;-;-;-;-;1;1;-;-;-;-;-;-;-;
Grandcour;5;2;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Grandevent;3;-;-;-;3;-;-;-;-;-;-;-;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;-;
Grandson;6;-;1;4;-;-;1;3;-;1;1;-;-;1;2;-;-;1;-;-;1;-;-;-;-;-;-;-;
Grens;4;-;-;1;2;-;1;2;-;-;-;1;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;
Gros-de-Vaud (district);172;14;30;33;50;19;26;59;2;3;4;23;7;20;42;-;1;3;11;7;20;16;-;2;3;9;2;-;
Gryon;30;3;4;5;5;3;10;22;1;2;3;3;3;10;17;-;-;1;4;2;10;9;1;2;2;1;1;2;
Hautemorges;15;-;2;-;6;2;5;9;-;-;-;2;2;5;9;-;-;-;2;2;5;2;-;-;-;2;-;-;
Henniez;4;-;-;-;1;3;-;-;-;-;-;-;-;-;4;-;-;-;1;3;-;-;-;-;-;-;-;-;
Hermenches;7;-;-;-;6;1;-;1;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;
Jongny;11;2;1;4;2;2;-;2;-;-;1;1;-;-;5;-;-;2;1;2;-;-;-;-;-;-;-;-;
Jorat-Menthue;12;-;2;1;3;-;6;8;-;-;-;2;-;6;8;-;-;-;2;-;6;-;-;-;-;-;-;-;
Jorat-Mézières;15;4;2;5;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Jouxtens-Mézery;15;3;-;6;-;3;3;5;-;-;-;-;2;3;5;-;-;-;-;2;3;-;-;-;-;-;-;-;
"Jura-Nord vaudois
(district)";466;43;73;138;122;39;51;118;-;8;22;28;23;37;73;1;-;3;17;14;38;56;-;5;22;21;7;1;
Juriens;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
"La Chaux
(Cossonay)";2;-;-;-;1;-;1;2;-;-;-;1;-;1;2;-;-;-;1;-;1;-;-;-;-;-;-;-;
La Praz;1;-;-;-;-;1;-;1;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;
La Rippe;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
La Sarraz;14;-;-;3;3;3;5;6;-;-;-;1;2;3;11;-;-;1;2;3;5;-;-;-;-;-;-;-;
La Tour-de-Peilz;38;5;6;13;8;2;4;6;-;-;-;3;-;3;2;-;-;-;1;-;1;1;-;-;-;-;-;1;
L'Abbaye;3;-;-;-;2;-;1;1;-;-;-;-;-;1;3;-;-;-;2;-;1;-;-;-;-;-;-;-;
L'Abergement;2;-;-;-;-;-;2;2;-;-;-;-;-;2;2;-;-;-;-;-;2;-;-;-;-;-;-;-;
Lausanne;1200;84;144;143;74;20;11;21;1;3;4;5;6;2;4;-;-;1;1;-;2;15;-;10;5;-;-;-;
Lausanne (district);603;101;160;171;100;41;30;58;2;4;9;10;17;16;34;-;-;3;5;8;18;25;1;10;5;3;3;3;
Lavaux-Oron (district);212;23;32;59;46;18;34;60;2;3;12;12;7;24;37;-;2;2;6;5;22;10;3;1;1;3;2;-;
Lavey-Morcles;11;1;2;3;4;-;1;4;-;-;2;1;-;1;3;-;-;1;1;-;1;-;-;-;-;-;-;-;
Lavigny;4;-;-;-;-;3;1;2;-;-;-;-;1;1;2;-;-;-;-;2;-;-;-;-;-;-;-;-;
Le Chenit;16;2;1;4;5;3;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Le Lieu;5;-;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Le Mont-sur-Lausanne;15;2;3;7;2;1;-;-;-;-;-;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;-;-;
Le Vaud;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Les Clées;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Leysin;68;5;15;21;10;6;11;44;2;9;9;8;5;11;13;-;-;1;-;2;10;-;-;-;-;-;-;-;
Lignerolle;10;-;3;3;3;-;1;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
L'Isle;4;-;2;-;-;1;1;2;-;1;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;
Lonay;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Longirod;7;-;-;2;2;-;3;5;-;-;1;1;-;3;5;-;-;1;1;-;3;1;-;-;-;-;-;1;
Lovatens;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Lucens;36;2;3;9;11;5;6;15;1;-;3;4;2;5;5;-;-;-;1;1;3;3;-;-;-;3;-;-;
Luins;2;-;-;-;1;-;1;2;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;
Lully;4;2;-;-;-;1;1;2;-;-;-;-;1;1;2;-;-;-;-;1;1;-;-;-;-;-;-;-;
Lussery-Villars;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Lussy-sur-Morges;6;-;-;1;-;1;4;5;-;-;-;-;1;4;5;-;-;-;-;1;4;-;-;-;-;-;-;-;
Lutry;30;3;3;11;2;1;10;14;-;-;4;1;1;8;8;-;-;-;-;1;7;1;-;-;1;-;-;-;
Maracon;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Marchissy;3;-;-;-;1;2;-;3;-;-;-;1;2;-;3;-;-;-;1;2;-;-;-;-;-;-;-;-;
Mathod;21;-;1;7;9;2;2;13;-;1;3;5;2;2;3;-;-;-;1;-;2;18;-;1;7;8;2;-;
Mauborget;1;-;-;-;-;1;-;1;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;
Mauraz;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;
Mex;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Mies;3;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Missy;2;-;-;-;-;1;1;2;-;-;-;-;1;1;2;-;-;-;-;1;1;-;-;-;-;-;-;-;
Moiry;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Mollens;4;-;-;-;1;2;1;4;-;-;-;1;2;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;
Molondin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Montagny-près-Yverdon;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Montanaire;15;1;2;5;4;-;3;8;1;1;1;2;-;3;5;-;1;1;-;-;3;-;-;-;-;-;-;-;
Montcherand;5;-;1;2;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Montilliez;4;1;-;1;1;-;1;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Mont-la-Ville;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Montpreveyres;6;-;1;1;2;1;1;4;-;1;-;2;-;1;2;-;-;-;1;-;1;-;-;-;-;-;-;-;
Montreux;179;17;27;57;46;13;19;71;1;8;17;25;4;16;12;-;-;2;-;1;9;4;-;-;1;3;-;-;
Montricher;3;-;-;-;-;1;2;3;-;-;-;-;1;2;3;-;-;-;-;1;2;-;-;-;-;-;-;-;
Mont-sur-Rolle;45;9;6;9;10;6;5;3;-;-;1;-;-;2;12;-;-;2;1;5;4;-;-;-;-;-;-;-;
